# name of chair | name of depaartment

Katedra za arhitekturu i urbanizam | Departman za arhitekturu i urbanizam
Katedra za teorije i interpretacije prostora u arhitekturi i urbanizmu | Departman za arhitekturu i urbanizam
Katedra za umetnost primenjenu u arhitekturi, tehnici i dizajnu | Departman za arhitekturu i urbanizam
Katedra za elektroenergetiku i primenjeni softverski inzenjering | Departman za energetiku, elektroniku i telekomunikacije
Katedra za energetsku elektroniku i pretvarace | Departman za energetiku, elektroniku i telekomunikacije
Katedra za elektroniku | Departman za energetiku, elektroniku i telekomunikacije
Katedra za telekomunikacije i obradu signala | Departman za energetiku, elektroniku i telekomunikacije
Katedra za elektricna merenja | Departman za energetiku, elektroniku i telekomunikacije
Katedra za teorijsku elektrotehniku | Departman za energetiku, elektroniku i telekomunikacije
Katedra za graficko inzenjerstvo i dizajn | Departman za graficko inzenjerstvo i dizajn
Katedra za konstrukcije | Departman za gradjevinarstvo i geodeziju
Katedra za geotehniku i saobracajnice | Departman za gradjevinarstvo i geodeziju
Katedra za organizaciju i tehnologiju gradjenja | Departman za gradjevinarstvo i geodeziju
Katedra za gradjevinske materijale, procenu stanja i sanaciju konstrukcija | Departman za gradjevinarstvo i geodeziju
Katedra za hidrotehniku i geodeziju | Departman za gradjevinarstvo i geodeziju
Katedra za proizvodne sisteme organizaciju i menadzment | Departman za industrijsko inzenjerstvo i menadzment
Katedra za mehatroniku, robotiku i automatizaciju | Departman za industrijsko inzenjerstvo i menadzment
Katedra za informaciono-komunikacione sisteme | Departman za industrijsko inzenjerstvo i menadzment
Katedra za kvalitet, efektivnost i logistiku | Departman za industrijsko inzenjerstvo i menadzment
Katedra za procese obrade skidanjem materijala | Departman za proizvodno masinstvo
Katedra za masine alatke, tehnoloske procese, fleksibilne tehnoloske sisteme i procese projektovanja | Departman za proizvodno masinstvo
Katedra za materijale i tehnologije spajanja | Departman za proizvodno masinstvo
Katedra za tehnologije oblikovanjem i inzenjerstvo povrsina | Departman za proizvodno masinstvo
Katedra za metrologiju, kvalitet, pribore, alate i ekolosko - inzenjerske aspekte | Departman za proizvodno masinstvo
Katedra za masinske konstrukcije, transportne sisteme i logistiku | Departman za mehanizaciju i konstrukciono masinstvo
Katedra za motore i vozila | Departman za mehanizaciju i konstrukciono masinstvo
Katedra za masinske elemente, teoriju masina i mehanizama i poljoprivredno masinstvo | Departman za mehanizaciju i konstrukciono masinstvo
Katedra za procesnu tehniku | Departman za energetiku i procesnu tehniku
Katedra za toplotnu tehniku | Departman za energetiku i procesnu tehniku
Katedra za mehaniku fluida i hidropneumatske sisteme | Departman za energetiku i procesnu tehniku
Katedra za tehnicku mehaniku | Departman za tehnicku mehaniku
Katedra za matematiku | Departman za opste discipline u tehnici
Katedra za fiziku | Departman za opste discipline u tehnici
Katedra za drustvene nauke | Departman za opste discipline u tehnici
Katedra za animaciju u inzenjerstvu | Departman za opste discipline u tehnici
Odsek za automatiku, geomatiku i upravljanje sistemima | Departman za racunarstvo i automatiku
Odsek za primenjene racunarske nauke i informatiku | Departman za racunarstvo i automatiku
Odsek za racunarsku tehniku i racunarske komunikacije | Departman za racunarstvo i automatiku
Katedra za logistiku i intermodalni transport | Departman za saobracaj
Katedra za tehnologije transportno-logistickih sistema | Departman za saobracaj
Katedra za drumske saobracajne sisteme | Departman za saobracaj
Katedra za postanski saobracaj i komunikacije | Departman za saobracaj
Katedra za inzenjerstvo biosistema | Departman za inzenjerstvo zastite zivotne sredine i zastite na radu
Katedra za inzenjerstvo zastite zivotne sredine | Departman za inzenjerstvo zastite zivotne sredine i zastite na radu
