# code | ordinal number | list of courses

51 | 1 | Algebra ; Softverski alati u elektroenergetici ; Programski jezici i strukture podataka ; Strani jezik 1 - izborni
52 | 2 | Matematicka analiza ; Osnovi elektrotehnike ; Aehitektura racunara ; Socioloski aspekti tehnickog razvoja
53 | 3 | Elektroenergetski sistemi ; Objektno programiranje ; Izborni predmet 1 ; Logicko projektovanje racunarskih sistema 1 ; Metodi optimizacije u elektroenergetici 
54 | 4 | Operativni sistemi ; Izborni predmet 2 ; Arhitektura distribuiranih sistema u elektroenergetici ; Izborni predmet 3 ; Diskretna matematika
55 | 5 | Programski prevodioci ; Baze podataka1 ; Izborni predmet 4 ; Modeliranje i simulacija sistema ; Interakcija covek racunar
56 | 6 | Razvoj elektroenergetskog softvera ; Cloud Computing u elektroenergetskim sistemima ; Osnove softvera sa kriticnim odzivom u elektroenergetskim sistemima ; Veb programiranje ; Razvoj viseslojnih aplikacija u elektroenergetskim sistemima
57 | 7 | Izborni predmet 5 ; Izborni predmet 6 ; Izborni predmet 7 ; Izborni predmet 8 ; Izborni predmet 9
58 | 8 | Izborni predmet 10 ;  Izborni predmet 11 ; Strucna praksa ; Projekat ; Izrada i odbrana diplomskog rada
sw11 | 1 | Algebra ; Engleski 1 ; Arhitektura racunara ; Osnove programiranja ; Sociologija tehnike
sw12 | 2 | Objektno-orijentisano programiranje 1 ; Algoritmi i strukture podataka ; Matematicka analiza ; Internet mreze ; Uvod u softversko inzenjerstvo
sw21 | 3 | Objektno-orijentisano programiranje 2 ; Organizacija podataka ; NANS ; Diskretna matematika ; NPIEA
sw22 | 4 | SPP ; Operativni sistemi ; Paralelno programiranje ; Baze Podataka ; SIMS
sw31 | 5 | Statistika ; Web programiranje ; SOK ; SNUS ; ORT-LPRS 
sw32 | 6 | PIGKUT ; ISA ; Interakcija covek racunar ; Programski prevodioci ; Metodologije razvoja softvera; Izborna pozicija b
sw41 | 7 | Izborna pozicija c ; Izborna pozicija d ; Izborna pozicija g ; KITS ; Strucna praksa-projekat
sw42 | 8 | Izborna pozicija e ; Izborna pozicija h ; Izborna pozicija f ; Izborna pozicija t ; Diplomski rad
